impression_id,campaign_id,channel,platform,timestamp,device_type,country,cost_micros
065d1d1e-16b1-40b3-873f-613222dc7b86,C041,Google_Ads,google,2024-02-08 20:28:06,tablet,DE,133393
7feed83a-4811-44f6-985e-9a6c42b04dc5,C015,Meta_Ads,meta,2024-06-08 05:17:49,tablet,UK,472759
9ab9f046-e814-4b63-896c-8f45b925b537,C035,Google_Ads,google,2025-10-17 10:23:08,mobile,ES,54123
87875aab-7121-4d20-926f-48a1acf65258,C014,Meta_Ads,meta,2026-02-24 01:00:38,tablet,ES,299254
bfa76a32-cff6-4a77-906c-f36cd147b8c4,C013,SEO,organic,2025-10-13 16:49:57,mobile,PT,313944
98f221ef-25fb-46f3-ac95-4d14335f87a8,C018,Google_Ads,google,2024-09-05 00:31:50,tablet,PT,183389
8170cb8c-fb57-453b-ad2f-dcc136c6e384,C018,Meta_Ads,meta,2024-11-30 11:28:43,desktop,ES,53625
7f553c4c-23da-4355-b6f4-8f8307db569f,C025,Google_Ads,google,2025-07-11 15:43:16,desktop,IT,143685
86b6cdec-14b4-4e97-b825-ca060ab9691f,C003,SEO,organic,2025-12-14 16:36:03,tablet,ES,488548
0649fe0e-7b52-473e-b715-113a36e85f78,C025,Google_Ads,google,2025-03-31 10:28:42,tablet,IT,469231
70b714ef-8647-437b-9a6a-a56f89fa75f5,C024,Email,email,2024-10-25 17:02:17,tablet,ES,29025
8d9500b1-f200-48e4-911e-47317b5f4b66,C043,Meta_Ads,meta,2025-03-25 13:09:54,mobile,FR,459286
f5d6c127-4a1b-48ca-8301-a14c2ac239c5,C007,LinkedIn_Ads,linkedin,2025-03-07 19:36:25,desktop,UK,442314
0baaefe0-9224-41ef-a5d2-6ae12b2485c9,C024,Meta_Ads,meta,2025-07-29 01:20:48,desktop,FR,356364
dc67bab2-0f63-4d9b-b99e-52b44b512706,C018,SEO,organic,2024-04-20 22:04:42,tablet,UK,94725
6ce75256-24f8-4dac-80c4-92e5a415ed5f,C035,SEO,organic,2025-01-15 07:12:46,mobile,PT,203943
8d564bbc-2612-450a-af10-65c44d12047c,C018,SEO,organic,2024-12-07 03:50:49,tablet,DE,446897
261dc050-29c4-4343-bf55-557482f962e8,C050,Google_Ads,google,2024-12-21 19:31:51,mobile,DE,215325
6b0111d9-538a-4ff3-a068-cf7fa4534fbb,C018,Google_Ads,google,2024-11-23 18:00:37,tablet,UK,169981
3d5bd572-20fe-4976-a18a-3147c4025f91,C014,SEO,organic,2026-02-14 12:41:25,desktop,UK,245570
4c3ccb8c-07c9-46cd-9134-736fae31fa8f,C010,TikTok_Ads,tiktok,2024-08-04 21:47:44,mobile,UK,299318
685aea2f-861a-4e3d-bc48-c74883ed5149,C035,TikTok_Ads,tiktok,2025-10-27 13:10:14,tablet,PT,194790
7d870e93-8fd1-4247-ba3c-6e677dc7de5d,C015,Meta_Ads,meta,2026-03-02 12:31:01,desktop,ES,401247
12572739-74c7-4ce9-baef-4166a1f83b99,C004,Google_Ads,google,2024-08-25 10:20:14,tablet,FR,420277
47ca6751-f0f9-48fe-be09-9dc177df1dd2,C044,LinkedIn_Ads,linkedin,2024-04-08 16:29:04,desktop,PT,317417
30a8e304-36ae-4453-beb3-3d2f52090f52,C030,Email,email,2025-01-25 13:23:51,tablet,ES,361664
e14d3f1e-47c0-4974-9206-f8c86f3d113e,C047,Google_Ads,google,2025-02-18 11:57:50,tablet,DE,63485
ecda0120-49d1-44fd-84ee-0df2e7ab50cb,C019,LinkedIn_Ads,linkedin,2024-09-02 16:32:54,desktop,ES,383584
ae17209e-6f81-43dc-89ea-d61dafc4868e,C047,TikTok_Ads,tiktok,2026-02-16 15:12:10,mobile,IT,483479
09309ef2-d583-4c38-821a-9b2f35d072ef,C007,SEO,organic,2025-04-08 14:49:41,tablet,IT,324275
57849a50-dc1f-487e-8aca-3a5fc1967829,C013,Meta_Ads,meta,2025-08-03 20:31:07,mobile,IT,413224
b7725786-904e-45ff-9de1-0293c9dc2ccc,C034,Google_Ads,google,2025-05-18 13:24:49,desktop,ES,63650
b1c3f4c3-f430-4be6-b80e-db78f47023fa,C024,TikTok_Ads,tiktok,2025-01-06 23:25:45,mobile,FR,465329
fba21be4-818d-4306-9255-63783cf95351,C037,Google_Ads,google,2024-05-13 01:23:31,tablet,PT,432831
377da868-3fcc-42ed-9105-8b420d8e4ec1,C005,Email,email,2024-07-14 08:41:30,mobile,UK,254184
c6d5ad22-6d2d-440a-8a1c-bb00b7e0f671,C036,Meta_Ads,meta,2025-02-15 18:01:38,tablet,IT,226846
dd931187-416a-425d-afe1-e8df2a9bb062,C014,Email,email,2024-11-08 11:27:18,tablet,DE,214186
09f2fd37-505a-47b2-9e4b-7fe7480dadad,C043,SEO,organic,2025-08-03 02:07:31,desktop,IT,241708
a378ca36-5797-4482-9673-73d3a22f810b,C008,Meta_Ads,meta,2024-12-15 01:19:26,mobile,DE,16028
24b6ef07-9eb8-4432-9c58-5fcf8cbfec7f,C038,Email,email,2024-12-23 11:17:56,tablet,FR,8770
5fdd7a0f-68e8-426e-9a69-da592624cc31,C005,SEO,organic,2024-04-01 10:58:23,mobile,ES,479700
1eb3158f-56f8-4f4f-b683-dacb4f5cc2b7,C003,TikTok_Ads,tiktok,2024-04-20 01:45:12,tablet,FR,151002
63fc9c97-9eed-4edb-9f8e-4383eb3355e0,C043,LinkedIn_Ads,linkedin,2024-11-28 19:19:37,tablet,FR,384245
de59b672-bd3d-4b01-8cc0-f3777cb63617,C037,Email,email,2026-01-04 06:27:11,mobile,PT,428360
4da131a5-0814-48a0-9fac-41fef0b54628,C027,Meta_Ads,meta,2024-05-26 12:43:14,mobile,UK,230994
e6b98a0d-0626-4823-8007-558f267b323e,C023,LinkedIn_Ads,linkedin,2025-09-30 15:00:13,desktop,UK,33401
b85e2a06-a6aa-4895-a835-bf22114a22db,C044,SEO,organic,2024-06-01 21:17:03,mobile,PT,386793
