click_id,impression_id,campaign_id,channel,platform,timestamp,device_type,country,cost_micros
8a140f26-a465-458d-861a-d639ac4c3402,065d1d1e-16b1-40b3-873f-613222dc7b86,C041,Google_Ads,google,2024-02-08 21:17:12,tablet,DE,133393
e0405c39-eea4-4041-a7c9-131879ffaeec,9ab9f046-e814-4b63-896c-8f45b925b537,C035,Google_Ads,google,2025-10-17 11:06:09,mobile,ES,54123
a37fae37-bb18-4fc0-91bb-e85365593d3b,8170cb8c-fb57-453b-ad2f-dcc136c6e384,C018,Meta_Ads,meta,2024-11-30 12:20:09,desktop,ES,53625
439aece6-6310-4598-b187-a09f64b55be4,7f553c4c-23da-4355-b6f4-8f8307db569f,C025,Google_Ads,google,2025-07-11 16:07:10,desktop,IT,143685
91fe6c43-f392-43ea-9b55-484c86e2d438,f5d6c127-4a1b-48ca-8301-a14c2ac239c5,C007,LinkedIn_Ads,linkedin,2025-03-07 19:47:54,desktop,UK,442314
4f8f812e-a35b-4d5c-97c3-a96a88de4573,8d564bbc-2612-450a-af10-65c44d12047c,C018,SEO,organic,2024-12-07 04:41:33,tablet,DE,446897
8d88bc29-3766-4541-86e6-1b8f5107d284,261dc050-29c4-4343-bf55-557482f962e8,C050,Google_Ads,google,2024-12-21 20:14:10,mobile,DE,215325
cbe58b26-ebfa-465e-9682-7aebc1953b71,12572739-74c7-4ce9-baef-4166a1f83b99,C004,Google_Ads,google,2024-08-25 10:26:56,tablet,FR,420277
7d7332c0-02d4-43b0-b4b5-4a9ffe303385,ecda0120-49d1-44fd-84ee-0df2e7ab50cb,C019,LinkedIn_Ads,linkedin,2024-09-02 16:51:16,desktop,ES,383584
87e79a50-484b-4ae2-b469-ed2368fccd94,ae17209e-6f81-43dc-89ea-d61dafc4868e,C047,TikTok_Ads,tiktok,2026-02-16 15:49:34,mobile,IT,483479
b3b1a67d-0669-4f15-9886-0f67ef9edabe,b1c3f4c3-f430-4be6-b80e-db78f47023fa,C024,TikTok_Ads,tiktok,2025-01-06 23:42:48,mobile,FR,465329
76c9df08-e0a8-4fb1-aba1-0c99b36ec2aa,fba21be4-818d-4306-9255-63783cf95351,C037,Google_Ads,google,2024-05-13 02:14:02,tablet,PT,432831
1562ce78-542a-49af-a918-49d081e81ebe,377da868-3fcc-42ed-9105-8b420d8e4ec1,C005,Email,email,2024-07-14 09:06:33,mobile,UK,254184
4b6a8061-506a-4c28-84c8-e13fcd77cbbf,c6d5ad22-6d2d-440a-8a1c-bb00b7e0f671,C036,Meta_Ads,meta,2025-02-15 18:45:46,tablet,IT,226846
19822375-cbe6-4dac-989e-56f4c55451ab,dd931187-416a-425d-afe1-e8df2a9bb062,C014,Email,email,2024-11-08 11:53:18,tablet,DE,214186
fc52bd67-dd74-4dc1-bbcb-8bdddb65d7e7,a378ca36-5797-4482-9673-73d3a22f810b,C008,Meta_Ads,meta,2024-12-15 02:18:48,mobile,DE,16028
29129035-13c1-4456-89d5-bbe3385bddb9,1eb3158f-56f8-4f4f-b683-dacb4f5cc2b7,C003,TikTok_Ads,tiktok,2024-04-20 02:10:00,tablet,FR,151002
87e1648e-eff9-45d5-b0b5-30a5f8841171,63fc9c97-9eed-4edb-9f8e-4383eb3355e0,C043,LinkedIn_Ads,linkedin,2024-11-28 19:22:27,tablet,FR,384245
f8715792-2f98-49aa-87a1-c3fbb4a19806,b85e2a06-a6aa-4895-a835-bf22114a22db,C044,SEO,organic,2024-06-01 21:55:01,mobile,PT,386793
b0329811-484d-494c-bd09-2c8c917e06b2,f8ddc826-5e69-4f55-8d72-ffe187b35c27,C022,Google_Ads,google,2025-01-21 07:18:22,mobile,FR,286168
32e85e90-9174-4ab9-9a9f-89ed5aaa3228,8c9ada4b-bc3e-4ea6-a7b8-5d2bddbb0dbb,C042,Email,email,2024-01-23 23:05:24,mobile,FR,92194
dcd4e9eb-c6ca-4f51-b2f5-8175ff7a2b1d,7acee65f-d922-4dcb-8e22-4d9eb0e09b61,C004,Meta_Ads,meta,2025-08-11 17:34:32,mobile,PT,144042
e0e2a2c9-4240-4692-8c50-e48c62abf4ed,85c27f60-37b8-49a0-a17f-c0342b4ab69f,C014,Google_Ads,google,2024-04-04 17:18:47,tablet,DE,34971
0f935133-0e4c-4c93-92f1-ac9f8824503f,dbbe5d7d-e5d0-484f-87cb-fe0cfd600395,C005,SEO,organic,2024-12-31 09:11:31,desktop,ES,498667
9c188cc6-90e8-470f-b2a2-2f307a5e7618,71ff199f-db4b-4a81-8b62-2b53a7140102,C004,Google_Ads,google,2025-10-20 00:48:20,desktop,ES,6858
0bc43461-c4ae-44bf-9ef4-b8663fca6bc1,3b5483ca-5059-4d50-b349-5a0f68c2b373,C036,SEO,organic,2025-10-26 10:16:41,tablet,ES,63654
3d3a35cd-3520-4ea3-884a-5a36c7efa65f,92681dec-5807-43e7-aab7-8d3aa6d325c2,C020,TikTok_Ads,tiktok,2024-03-02 23:32:50,desktop,FR,362599
60e09269-3f89-4050-be35-f05ad155624f,c0a2fa69-718e-40e4-afdc-5c90b546777f,C013,LinkedIn_Ads,linkedin,2025-06-27 04:43:56,desktop,FR,121876
0fad367b-d5e0-46c8-9968-862df41fbe2e,5cb73da6-6324-4fd4-a97a-7277154400a9,C005,TikTok_Ads,tiktok,2025-06-29 12:38:14,tablet,IT,214546
852d4e60-ce6c-4d9f-8d51-70cc58d100dc,2b3447a3-b138-403d-b1ae-9d605918cc81,C012,Email,email,2025-04-12 13:12:30,desktop,IT,442112
